education,hours-per-week,sex,age,race,workclass,Major_Group
HS-grad,40,Female,69,Black,Private,Other
Bachelors,40,Male,57,White,Private,Business
Less than HS,40,Female,28,White,Private,Other
HS-grad,95,Male,25,White,Private,Other
Assoc-acdm,30,Male,49,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Less than HS,40,Male,52,White,Private,Other
Less than HS,40,Male,32,White,Private,Other
Some-college,50,Female,31,Asian-Pac-Islander,Private,Business
HS-grad,50,Male,30,White,Private,Other
HS-grad,60,Male,24,White,Private,Other
Assoc-acdm,66,Male,45,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,30,White,Private,Other
Bachelors,55,Male,52,White,Private,Business
HS-grad,25,Female,42,Black,State-gov,Other
HS-grad,40,Male,49,White,Private,Other
HS-grad,30,Male,20,White,Private,Other
Bachelors,40,Female,25,White,Private,Business
Less than HS,55,Male,41,White,Private,Other
HS-grad,40,Female,55,Black,Private,Other
Assoc-voc,50,Male,31,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Bachelors,40,Female,25,Black,State-gov,Business
HS-grad,40,Male,32,White,Private,Other
Some-college,40,Male,29,White,Federal-gov,Business
Less than HS,40,Female,52,White,Private,Other
Some-college,15,Female,19,White,Private,Business
Assoc-acdm,40,Male,43,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,40,White,Self-emp-inc,Other
Less than HS,40,Female,54,White,Private,Other
Bachelors,40,Male,35,White,Private,Business
Assoc-voc,40,Female,34,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,35,White,Private,Health
Doctorate,40,Male,57,Asian-Pac-Islander,Private,Other
Bachelors,40,Female,26,White,Private,Other
Bachelors,15,Female,55,White,Self-emp-not-inc,Business
Bachelors,40,Female,51,White,Private,Business
Assoc-acdm,30,Male,35,Black,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,31,White,Private,Other
Less than HS,8,Female,17,White,Private,Other
HS-grad,40,Female,38,White,Private,Other
Prof-school,50,Male,39,White,Federal-gov,Law & Public Policy
HS-grad,45,Male,29,White,Private,Other
Assoc-voc,40,Female,39,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,42,White,Private,Health
Masters,50,Male,46,White,Local-gov,Other
Less than HS,25,Male,73,White,Private,Other
Some-college,40,Female,47,White,Local-gov,Health
HS-grad,70,Female,28,White,Private,Other
Less than HS,40,Male,27,White,Private,Other
Prof-school,40,Male,38,White,Private,Law & Public Policy
HS-grad,35,Male,19,White,Private,Other
Assoc-voc,40,Male,60,White,Local-gov,Industrial Arts & Consumer Services
Some-college,40,Male,24,White,Private,Other
Less than HS,40,Male,52,White,Private,Other
Bachelors,45,Female,36,White,Private,Business
Masters,40,Female,26,White,Local-gov,Health
Bachelors,16,Male,28,White,State-gov,Health
Bachelors,50,Male,38,White,Self-emp-inc,Engineering
Masters,50,Male,47,White,Private,Other
Bachelors,40,Female,50,White,Private,Business
HS-grad,40,Male,27,White,Private,Other
Some-college,40,Female,47,White,Private,Health
Less than HS,40,Female,36,White,Private,Other
HS-grad,40,Male,49,Black,Private,Other
HS-grad,40,Female,63,White,Private,Other
HS-grad,70,Male,36,White,Private,Other
Some-college,35,Female,42,White,Private,Business
Masters,45,Female,28,Black,Private,Other
HS-grad,22,Female,38,White,Private,Other
Bachelors,40,Male,43,White,Private,Health
Some-college,40,Male,49,White,Private,Health
HS-grad,40,Female,59,White,Private,Other
Bachelors,40,Male,25,White,Private,Business
Assoc-acdm,36,Female,26,White,Private,Industrial Arts & Consumer Services
Some-college,48,Female,59,White,Private,Health
Some-college,45,Male,34,White,Private,Engineering
Masters,43,Male,34,Asian-Pac-Islander,Private,Health
HS-grad,24,Female,67,White,Private,Other
Assoc-voc,44,Female,45,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,64,Black,Private,Other
Masters,38,Male,51,White,Private,Health
Bachelors,55,Male,31,White,Private,Business
Bachelors,45,Male,42,White,Self-emp-inc,Business
Less than HS,40,Male,65,Asian-Pac-Islander,Private,Other
Some-college,20,Male,23,White,Private,Business
Some-college,45,Male,31,White,Private,Engineering
Less than HS,40,Female,33,White,Private,Other
Less than HS,35,Male,17,White,Local-gov,Other
Masters,46,Male,63,White,Private,Other
HS-grad,60,Male,48,White,Private,Other
Assoc-acdm,40,Male,45,White,Local-gov,Industrial Arts & Consumer Services
Less than HS,10,Male,17,White,Private,Other
HS-grad,40,Male,26,White,Local-gov,Other
Some-college,40,Female,38,Black,Federal-gov,Engineering
HS-grad,40,Female,29,White,Private,Other
Some-college,32,Female,44,White,Private,Business
Masters,40,Male,43,White,Federal-gov,Other
Bachelors,40,Male,39,White,State-gov,Business
HS-grad,40,Male,43,Black,Private,Other
HS-grad,45,Female,23,White,Private,Other
HS-grad,40,Female,19,Asian-Pac-Islander,Private,Other
Less than HS,40,Male,49,White,Self-emp-not-inc,Other
Some-college,40,Male,52,White,Private,Engineering
HS-grad,50,Male,32,White,Private,Other
Bachelors,40,Male,38,White,Private,Other
Some-college,40,Male,44,White,Private,Other
Less than HS,40,Male,63,White,Private,Other
Some-college,40,Male,21,White,Private,Business
Some-college,40,Male,32,White,Private,Engineering
HS-grad,50,Female,24,White,Self-emp-not-inc,Other
HS-grad,40,Male,50,White,State-gov,Other
Bachelors,80,Male,26,White,Self-emp-inc,Business
HS-grad,35,Male,35,White,Private,Other
Bachelors,44,Male,31,White,Private,Engineering
Less than HS,66,Male,24,Other,Private,Other
HS-grad,56,Male,40,White,Private,Other
Bachelors,55,Male,31,White,Private,Business
HS-grad,40,Male,43,White,Private,Other
HS-grad,35,Male,44,White,Private,Other
Bachelors,40,Female,40,White,Private,Health
Some-college,42,Male,52,White,Local-gov,Business
Less than HS,40,Male,51,White,Self-emp-not-inc,Other
Bachelors,40,Male,39,White,State-gov,Health
Assoc-acdm,50,Male,40,White,Private,Industrial Arts & Consumer Services
Some-college,35,Male,40,White,Self-emp-not-inc,Other
HS-grad,40,Male,33,White,Private,Other
Some-college,60,Male,38,White,Local-gov,Business
Assoc-voc,50,Male,29,White,Private,Industrial Arts & Consumer Services
Some-college,37,Female,37,Black,Private,Business
HS-grad,45,Male,37,White,Private,Other
HS-grad,40,Male,19,White,Private,Other
HS-grad,40,Male,46,Black,Local-gov,Other
Assoc-acdm,40,Male,46,White,Private,Industrial Arts & Consumer Services
Some-college,30,Male,37,Black,Private,Business
Some-college,43,Female,38,White,Private,Business
HS-grad,40,Male,26,White,Private,Other
Bachelors,35,Female,34,White,Private,Other
Bachelors,40,Male,57,White,Private,Health
Less than HS,65,Male,33,White,Private,Other
Some-college,40,Male,26,White,Local-gov,Business
HS-grad,84,Female,20,White,Private,Other
Bachelors,60,Male,38,White,Private,Health
Some-college,6,Male,61,White,Private,Other
Some-college,16,Male,17,White,Private,Engineering
Some-college,40,Male,40,Other,Private,Other
Less than HS,16,Male,18,White,Private,Other
Assoc-acdm,32,Female,21,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,41,White,Private,Other
Less than HS,40,Female,46,White,Private,Other
HS-grad,40,Male,55,White,Federal-gov,Other
Assoc-acdm,52,Male,27,White,Private,Industrial Arts & Consumer Services
HS-grad,42,Male,39,White,Private,Other
HS-grad,48,Male,36,Black,Private,Other
Some-college,40,Male,51,White,Private,Other
Bachelors,40,Male,27,White,Private,Business
Bachelors,40,Male,30,White,Local-gov,Health
HS-grad,47,Male,42,White,Private,Other
Bachelors,20,Female,23,White,Private,Other
Assoc-voc,40,Male,56,White,Private,Industrial Arts & Consumer Services
Some-college,50,Male,41,White,Self-emp-not-inc,Engineering
HS-grad,46,Male,49,White,Private,Other
Assoc-voc,60,Female,46,Amer-Indian-Eskimo,Federal-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,54,White,Private,Other
Some-college,43,Male,38,White,Private,Other
Prof-school,50,Male,45,Asian-Pac-Islander,Self-emp-not-inc,Law & Public Policy
Prof-school,30,Male,50,White,Self-emp-not-inc,Law & Public Policy
Some-college,40,Female,22,White,Private,Business
HS-grad,40,Male,31,White,Private,Other
HS-grad,30,Male,27,White,Private,Other
HS-grad,40,Male,34,White,Private,Other
Less than HS,30,Male,46,White,Private,Other
Bachelors,60,Male,47,White,Private,Business
Assoc-voc,40,Male,36,Asian-Pac-Islander,State-gov,Industrial Arts & Consumer Services
HS-grad,40,Male,22,White,Private,Other
HS-grad,45,Male,51,White,Private,Other
Some-college,30,Male,43,White,Private,Other
Some-college,50,Male,54,White,Private,Health
Less than HS,40,Female,24,Black,Private,Other
Prof-school,55,Male,29,Asian-Pac-Islander,Private,Law & Public Policy
Some-college,38,Female,40,White,State-gov,Business
Less than HS,20,Male,18,White,Private,Other
Bachelors,50,Male,31,White,Private,Business
Doctorate,40,Male,57,White,Private,Other
Masters,40,Female,32,Black,Private,Other
Masters,40,Male,48,White,Private,Other
Some-college,35,Male,24,White,Private,Engineering
Assoc-acdm,22,Female,24,White,Private,Industrial Arts & Consumer Services
Assoc-voc,40,Male,24,White,Private,Industrial Arts & Consumer Services
Bachelors,30,Female,49,White,Local-gov,Health
HS-grad,70,Male,27,White,Self-emp-not-inc,Other
Some-college,40,Female,37,White,Private,Engineering
Some-college,60,Male,33,White,Private,Engineering
Some-college,25,Male,19,White,Private,Business
Bachelors,40,Female,45,White,Private,Business
Masters,40,Female,54,White,Local-gov,Health
HS-grad,40,Male,47,White,Private,Other
Some-college,22,Female,22,Other,Private,Business
HS-grad,40,Male,20,White,Private,Other
Less than HS,40,Male,36,White,Private,Other
Less than HS,40,Male,58,White,Self-emp-not-inc,Other
Bachelors,40,Female,34,White,Self-emp-inc,Business
Masters,44,Female,36,White,Private,Health
Bachelors,60,Female,28,Black,Local-gov,Business
Assoc-voc,40,Male,38,White,Local-gov,Industrial Arts & Consumer Services
Less than HS,40,Male,32,Asian-Pac-Islander,Private,Other
HS-grad,60,Male,35,White,Self-emp-inc,Other
Assoc-acdm,60,Male,51,White,Self-emp-inc,Industrial Arts & Consumer Services
Some-college,45,Male,33,White,Private,Business
Masters,15,Female,71,White,Private,Health
Masters,40,Male,48,White,Private,Health
HS-grad,50,Male,53,White,Self-emp-not-inc,Other
Assoc-voc,40,Male,40,White,Private,Industrial Arts & Consumer Services
HS-grad,5,Male,64,White,Self-emp-not-inc,Other
HS-grad,48,Male,42,White,Federal-gov,Other
HS-grad,40,Male,25,White,Private,Other
Some-college,50,Female,66,White,Private,Business
Some-college,55,Male,42,White,Self-emp-not-inc,Business
HS-grad,40,Male,24,White,Private,Other
HS-grad,25,Female,19,White,Private,Other
Some-college,24,Female,26,White,Private,Business
HS-grad,30,Male,22,Black,Private,Other
Some-college,40,Male,33,White,Private,Business
Less than HS,12,Male,63,White,Private,Other
Some-college,30,Male,20,White,Private,Other
Less than HS,40,Male,33,White,Private,Other
HS-grad,40,Male,56,White,Private,Other
Assoc-voc,24,Male,70,White,Self-emp-not-inc,Industrial Arts & Consumer Services
HS-grad,40,Male,42,White,Private,Other
Bachelors,40,Female,25,Black,Local-gov,Health
Some-college,40,Male,28,White,Private,Other
HS-grad,40,Male,80,White,Self-emp-not-inc,Other
Less than HS,40,Female,36,Black,Private,Other
Masters,40,Male,37,White,Private,Other
HS-grad,60,Male,38,White,Private,Other
HS-grad,35,Female,52,White,State-gov,Other
HS-grad,40,Female,49,White,Private,Other
HS-grad,40,Male,30,White,Private,Other
Some-college,50,Male,36,Black,Private,Business
Prof-school,35,Male,70,White,Self-emp-inc,Law & Public Policy
Some-college,62,Male,55,White,Private,Other
Bachelors,40,Female,25,White,Private,Business
HS-grad,40,Female,59,White,Private,Other
Some-college,40,Male,22,White,Private,Engineering
Assoc-acdm,50,Male,41,White,Local-gov,Industrial Arts & Consumer Services
HS-grad,45,Male,62,White,Private,Other
HS-grad,40,Female,54,White,Private,Other
HS-grad,40,Female,38,Black,Private,Other
HS-grad,40,Male,52,White,Private,Other
Less than HS,40,Male,36,White,Private,Other
HS-grad,30,Male,74,White,Self-emp-inc,Other
Less than HS,15,Female,35,White,Self-emp-not-inc,Other
Less than HS,40,Male,41,Amer-Indian-Eskimo,Private,Other
Assoc-voc,40,Female,30,White,Private,Industrial Arts & Consumer Services
HS-grad,48,Male,25,White,Private,Other
Some-college,60,Male,35,White,Private,Business
Bachelors,50,Male,38,White,Private,Business
Masters,40,Male,34,White,State-gov,Other
Masters,50,Male,48,White,Private,Other
Less than HS,15,Female,50,Asian-Pac-Islander,Self-emp-not-inc,Other
HS-grad,40,Female,19,White,Private,Other
Some-college,40,Male,51,White,Private,Business
Bachelors,40,Male,39,White,Private,Business
Less than HS,40,Female,20,White,Private,Other
Less than HS,16,Male,17,White,Private,Other
Some-college,50,Male,42,White,Private,Business
Some-college,25,Female,25,Other,Private,Other
HS-grad,40,Female,36,White,Private,Other
Doctorate,40,Female,65,White,Private,Other
Bachelors,70,Male,32,White,Self-emp-not-inc,Other
Bachelors,45,Male,33,White,Self-emp-inc,Health
Some-college,20,Female,32,Black,State-gov,Engineering
HS-grad,40,Male,25,White,Private,Other
Some-college,40,Female,41,White,Local-gov,Business
HS-grad,40,Male,44,White,Private,Other
Less than HS,12,Male,72,White,Private,Other
HS-grad,52,Male,36,White,Private,Other
HS-grad,20,Male,67,White,Self-emp-not-inc,Other
HS-grad,45,Male,28,White,Private,Other
Less than HS,40,Male,24,Other,Private,Other
Less than HS,8,Male,17,White,Private,Other
Bachelors,30,Female,32,Black,Self-emp-not-inc,Business
Less than HS,40,Female,67,White,Private,Other
Masters,40,Male,51,Asian-Pac-Islander,Private,Health
Less than HS,40,Male,32,White,Private,Other
Some-college,40,Male,39,White,Private,Business
Some-college,35,Female,18,White,Self-emp-not-inc,Engineering
Bachelors,45,Male,50,White,Self-emp-not-inc,Engineering
Less than HS,15,Female,24,White,Private,Other
Some-college,40,Female,21,White,Local-gov,Business
Bachelors,16,Female,24,Asian-Pac-Islander,Private,Business
Assoc-voc,40,Male,34,White,Private,Industrial Arts & Consumer Services
Less than HS,32,Male,49,Black,Self-emp-not-inc,Other
HS-grad,40,Female,50,Amer-Indian-Eskimo,Private,Other
Assoc-acdm,40,Female,33,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,18,White,Private,Business
Assoc-voc,55,Female,45,White,Private,Industrial Arts & Consumer Services
HS-grad,35,Female,20,White,Private,Other
Bachelors,37,Male,46,White,Self-emp-inc,Business
HS-grad,40,Female,64,White,Local-gov,Other
Doctorate,45,Male,39,White,Private,Other
HS-grad,70,Male,35,White,Private,Other
Some-college,32,Male,21,White,Private,Other
Assoc-acdm,45,Male,29,White,Private,Industrial Arts & Consumer Services
Bachelors,30,Female,38,Black,State-gov,Business
HS-grad,40,Female,45,White,Private,Other
Masters,50,Male,30,Asian-Pac-Islander,Self-emp-not-inc,Health
Some-college,40,Female,41,White,Private,Business
HS-grad,40,Male,37,Asian-Pac-Islander,Private,Other
Bachelors,60,Male,45,White,Private,Business
HS-grad,48,Male,45,White,Self-emp-inc,Other
HS-grad,20,Male,20,White,Federal-gov,Other
Some-college,60,Female,63,White,Self-emp-inc,Business
Some-college,40,Male,35,White,Self-emp-not-inc,Business
Bachelors,50,Male,24,White,Private,Health
Some-college,50,Male,19,White,Private,Other
HS-grad,35,Male,23,White,Private,Other
Bachelors,45,Female,34,White,Private,Health
Less than HS,50,Male,36,White,Self-emp-not-inc,Other
HS-grad,5,Male,46,White,Private,Other
Bachelors,42,Male,38,White,Local-gov,Business
Less than HS,40,Female,55,White,Local-gov,Other
Some-college,40,Male,27,Asian-Pac-Islander,Private,Business
Some-college,45,Male,48,White,Private,Engineering
HS-grad,50,Female,35,White,Private,Other
Some-college,40,Male,53,Black,Private,Engineering
HS-grad,40,Male,47,White,Private,Other
Some-college,22,Male,50,White,Private,Engineering
Some-college,40,Male,32,White,Private,Business
HS-grad,46,Male,40,White,Private,Other
Some-college,50,Male,41,White,Private,Business
Bachelors,40,Male,47,White,Federal-gov,Health
Some-college,25,Female,21,Black,Private,Business
Masters,35,Male,45,White,Local-gov,Other
Less than HS,14,Female,33,Black,Private,Other
Some-college,25,Female,68,White,Without-pay,Other
Prof-school,55,Male,44,White,Private,Law & Public Policy
Less than HS,50,Male,49,White,Private,Other
Doctorate,40,Male,45,White,Private,Other
Some-college,65,Male,41,White,Private,Other
Less than HS,40,Male,29,White,Private,Other
HS-grad,25,Male,19,White,Private,Other
Less than HS,40,Male,56,White,Private,Other
HS-grad,60,Male,55,White,Self-emp-not-inc,Other
HS-grad,50,Male,29,White,Private,Other
HS-grad,25,Female,21,White,Private,Other
Less than HS,50,Male,52,White,Private,Other
HS-grad,40,Female,22,White,Private,Other
HS-grad,60,Male,20,White,Private,Other
HS-grad,50,Male,31,Black,Private,Other
HS-grad,40,Male,39,White,Private,Other
Some-college,40,Female,55,White,Private,Engineering
Assoc-acdm,40,Male,35,White,Private,Industrial Arts & Consumer Services
Bachelors,55,Male,45,White,Private,Engineering
Masters,60,Male,61,White,Private,Other
HS-grad,30,Male,18,White,Private,Other
Bachelors,40,Male,51,White,State-gov,Business
HS-grad,40,Male,37,White,Self-emp-not-inc,Other
Some-college,38,Female,32,White,Private,Other
HS-grad,45,Male,48,Black,Private,Other
Less than HS,53,Male,62,White,Private,Other
HS-grad,45,Male,28,White,Private,Other
Less than HS,45,Male,19,White,Private,Other
Some-college,15,Female,20,White,Private,Business
Bachelors,40,Male,41,White,Private,Other
Bachelors,40,Female,29,Black,Private,Business
Bachelors,50,Male,47,White,Private,Business
Bachelors,37,Male,43,White,State-gov,Health
Some-college,20,Male,20,White,Private,Other
Bachelors,55,Male,29,Black,Private,Business
Bachelors,40,Female,51,Black,Federal-gov,Health
Assoc-voc,40,Male,40,White,Private,Industrial Arts & Consumer Services
Less than HS,40,Male,26,White,Private,Other
Bachelors,40,Female,30,White,Private,Health
HS-grad,40,Female,36,White,Private,Other
HS-grad,20,Male,68,White,Local-gov,Other
Some-college,40,Female,42,White,Private,Engineering
HS-grad,40,Male,41,White,Private,Other
Bachelors,45,Male,43,White,Private,Business
Some-college,20,Male,20,White,Private,Other
Bachelors,40,Male,43,White,Private,Engineering
HS-grad,60,Male,53,White,Private,Other
Some-college,40,Male,45,White,Private,Health
HS-grad,40,Male,39,White,Private,Other
Masters,45,Male,31,White,Local-gov,Health
Some-college,25,Male,23,Asian-Pac-Islander,Private,Business
Masters,40,Female,38,White,State-gov,Other
HS-grad,45,Male,37,White,Self-emp-not-inc,Other
HS-grad,40,Female,18,White,Private,Other
HS-grad,45,Male,41,White,Self-emp-not-inc,Other
Bachelors,55,Female,30,White,Private,Business
Bachelors,30,Male,26,White,Private,Health
HS-grad,40,Male,37,White,Private,Other
Some-college,50,Female,25,Black,Private,Engineering
Some-college,40,Male,33,White,Private,Health
Bachelors,40,Male,37,White,Private,Business
Bachelors,40,Male,31,White,Private,Engineering
Some-college,80,Male,27,White,Private,Business
Masters,40,Male,35,White,Private,Other
Some-college,30,Female,28,White,Self-emp-not-inc,Business
HS-grad,50,Male,59,White,Private,Other
Bachelors,40,Male,42,White,Private,Health
HS-grad,40,Male,50,White,Private,Other
Some-college,40,Female,32,White,Private,Other
HS-grad,40,Male,27,Black,Private,Other
Bachelors,40,Male,43,White,Private,Other
Less than HS,40,Male,46,Amer-Indian-Eskimo,Private,Other
Some-college,50,Male,41,White,Private,Business
Masters,60,Female,59,White,Local-gov,Health
Some-college,30,Female,20,White,Private,Business
HS-grad,70,Male,46,White,Self-emp-not-inc,Other
Less than HS,40,Male,45,Black,Private,Other
HS-grad,45,Male,29,Asian-Pac-Islander,Local-gov,Other
Less than HS,40,Male,23,White,Private,Other
HS-grad,48,Male,46,White,Private,Other
Some-college,40,Male,58,White,Private,Engineering
Assoc-voc,40,Female,38,Asian-Pac-Islander,Private,Industrial Arts & Consumer Services
Some-college,50,Male,29,White,Private,Business
Bachelors,40,Female,26,White,Local-gov,Health
Bachelors,40,Male,42,Asian-Pac-Islander,Private,Business
HS-grad,45,Male,61,Asian-Pac-Islander,Private,Other
Some-college,45,Male,31,White,Private,Business
HS-grad,40,Male,43,White,Private,Other
Bachelors,50,Male,47,White,Private,Engineering
HS-grad,56,Male,51,White,State-gov,Other
HS-grad,40,Male,23,White,Private,Other
HS-grad,40,Female,24,White,Private,Other
Assoc-voc,50,Male,38,White,Private,Industrial Arts & Consumer Services
HS-grad,16,Female,48,White,Private,Other
HS-grad,30,Male,33,White,Private,Other
Less than HS,40,Female,18,Asian-Pac-Islander,Private,Other
HS-grad,40,Male,52,White,Private,Other
Bachelors,45,Male,46,White,Private,Health
HS-grad,40,Male,28,White,Private,Other
Some-college,30,Male,37,Asian-Pac-Islander,Private,Other
Masters,50,Male,45,White,Local-gov,Health
Less than HS,16,Female,17,White,Private,Other
Masters,40,Male,56,White,Private,Health
Assoc-acdm,45,Male,38,White,Self-emp-inc,Industrial Arts & Consumer Services
Less than HS,10,Male,81,White,Private,Other
Some-college,30,Female,22,White,Private,Other
Some-college,40,Female,43,White,State-gov,Business
Assoc-acdm,40,Female,31,White,Private,Industrial Arts & Consumer Services
Bachelors,40,Male,42,White,Self-emp-not-inc,Health
HS-grad,40,Male,50,White,Private,Other
Some-college,40,Male,31,White,Private,Other
Some-college,40,Female,35,White,Private,Business
Bachelors,35,Female,36,Black,Private,Other
Less than HS,40,Male,33,White,Private,Other
Bachelors,40,Female,36,Black,Private,Health
HS-grad,25,Male,50,White,Private,Other
Some-college,40,Male,55,White,Private,Health
HS-grad,40,Female,29,White,Private,Other
Some-college,30,Female,24,Black,Private,Other
Some-college,40,Male,39,White,Federal-gov,Business
Bachelors,40,Male,34,White,Private,Business
Less than HS,55,Female,29,White,Private,Other
Some-college,32,Male,60,Other,Private,Engineering
Masters,50,Female,33,White,Private,Other
Less than HS,40,Male,58,White,Private,Other
Some-college,40,Male,27,White,Private,Business
Some-college,40,Female,46,Amer-Indian-Eskimo,State-gov,Business
HS-grad,40,Male,63,White,Private,Other
Some-college,40,Female,38,White,Self-emp-not-inc,Other
Some-college,15,Male,23,White,Private,Engineering
Bachelors,40,Female,29,White,Private,Health
Prof-school,60,Female,31,White,Private,Law & Public Policy
HS-grad,40,Male,49,White,Self-emp-inc,Other
Doctorate,60,Male,45,White,Self-emp-inc,Other
Less than HS,40,Male,42,White,Private,Other
HS-grad,40,Male,48,White,Private,Other
HS-grad,40,Male,33,White,Private,Other
Some-college,40,Male,24,White,Private,Business
Some-college,50,Male,49,White,Self-emp-not-inc,Business
Some-college,40,Male,40,White,Private,Other
Assoc-voc,45,Male,57,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,50,White,Private,Other
Bachelors,55,Male,46,White,Private,Business
Some-college,60,Male,35,White,Self-emp-not-inc,Business
Some-college,20,Female,19,White,Private,Other
Less than HS,28,Female,18,White,Private,Other
HS-grad,40,Male,20,White,Private,Other
HS-grad,40,Male,42,White,Private,Other
HS-grad,40,Male,46,Asian-Pac-Islander,Private,Other
HS-grad,20,Female,40,White,Federal-gov,Other
Masters,45,Male,54,Asian-Pac-Islander,Private,Other
HS-grad,45,Male,28,White,Private,Other
Some-college,40,Male,38,White,Private,Engineering
Some-college,40,Female,28,White,Private,Other
Less than HS,40,Male,22,White,Private,Other
Bachelors,50,Male,31,White,Private,Business
HS-grad,40,Male,27,White,Private,Other
Bachelors,42,Male,45,White,Private,Health
Bachelors,40,Male,38,White,Private,Business
Assoc-acdm,4,Female,67,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Masters,16,Male,75,White,Private,Other
Masters,60,Female,41,Black,Private,Other
Bachelors,60,Male,37,White,Private,Business
HS-grad,50,Female,47,White,Private,Other
Bachelors,45,Male,34,White,Local-gov,Health
HS-grad,40,Male,25,White,Private,Other
HS-grad,40,Female,52,White,Private,Other
HS-grad,40,Male,27,White,State-gov,Other
HS-grad,40,Male,35,Other,Private,Other
Less than HS,35,Female,44,White,Local-gov,Other
HS-grad,80,Male,27,White,Local-gov,Other
Some-college,33,Male,42,White,Private,Engineering
Less than HS,38,Female,26,White,Private,Other
HS-grad,40,Male,23,White,Private,Other
HS-grad,40,Female,28,Amer-Indian-Eskimo,Private,Other
HS-grad,50,Male,38,White,Self-emp-not-inc,Other
Some-college,50,Male,28,White,Private,Engineering
HS-grad,40,Female,29,White,Private,Other
Less than HS,50,Male,56,White,Self-emp-not-inc,Other
Some-college,40,Female,30,Black,Private,Business
Some-college,40,Male,48,White,Private,Other
Masters,60,Male,38,White,Private,Other
HS-grad,40,Male,24,White,Private,Other
Doctorate,40,Male,47,White,State-gov,Other
Some-college,40,Female,29,White,Private,Health
Assoc-acdm,40,Male,45,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,24,White,Private,Other
HS-grad,40,Male,40,White,Private,Other
Less than HS,40,Male,28,Black,Local-gov,Other
Bachelors,50,Female,46,White,Federal-gov,Health
Some-college,40,Male,32,White,Private,Other
HS-grad,40,Male,20,White,Private,Other
Some-college,35,Male,23,White,Private,Other
HS-grad,40,Male,46,White,Private,Other
HS-grad,35,Female,21,White,Private,Other
Masters,40,Male,59,Asian-Pac-Islander,Private,Other
Some-college,50,Male,31,White,Private,Health
Some-college,40,Female,48,White,Private,Business
Less than HS,40,Male,34,White,Private,Other
Some-college,25,Male,19,White,Private,Other
Some-college,35,Male,20,White,Private,Business
Bachelors,50,Male,29,White,Private,Health
Some-college,40,Male,54,White,Private,Engineering
HS-grad,52,Male,36,White,Private,Other
Bachelors,50,Male,43,White,Private,Business
Bachelors,40,Male,46,White,Federal-gov,Engineering
Masters,45,Male,33,White,Private,Health
Less than HS,45,Female,33,White,Private,Other
Some-college,40,Male,36,White,Private,Other
HS-grad,40,Male,37,White,Private,Other
HS-grad,60,Male,45,White,Self-emp-not-inc,Other
Bachelors,40,Female,25,White,Private,Business
Assoc-voc,40,Male,28,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,26,White,Private,Other
HS-grad,40,Male,23,White,Private,Other
HS-grad,40,Female,24,White,Private,Other
Some-college,40,Female,58,White,Self-emp-not-inc,Health
Assoc-voc,40,Female,36,White,Private,Industrial Arts & Consumer Services
Some-college,50,Male,46,White,Private,Business
Some-college,50,Male,32,White,Private,Business
HS-grad,40,Male,26,Black,Private,Other
Less than HS,40,Female,52,White,Private,Other
HS-grad,45,Female,19,White,Private,Other
Bachelors,60,Male,33,White,Private,Health
HS-grad,40,Male,60,White,Private,Other
Some-college,38,Male,39,White,Private,Business
Bachelors,45,Male,45,White,Private,Business
Some-college,40,Female,37,Black,Local-gov,Business
Assoc-acdm,40,Male,29,White,Private,Industrial Arts & Consumer Services
Some-college,66,Male,53,White,Private,Engineering
Some-college,40,Male,46,White,State-gov,Business
Some-college,40,Male,20,White,Private,Other
Masters,40,Female,39,White,Private,Health
Some-college,40,Female,48,White,Private,Health
HS-grad,48,Male,38,Black,Private,Other
HS-grad,45,Male,36,White,Private,Other
Less than HS,56,Female,53,Black,Private,Other
HS-grad,35,Male,29,White,Private,Other
Less than HS,50,Male,64,White,Private,Other
Some-college,50,Male,34,White,Private,Business
Bachelors,40,Female,41,White,Local-gov,Health
HS-grad,38,Female,34,White,Private,Other
Some-college,40,Male,22,White,Private,Engineering
Less than HS,40,Male,43,White,Private,Other
Some-college,40,Male,36,White,Private,Business
HS-grad,55,Male,47,White,Private,Other
Some-college,40,Male,33,White,Private,Other
Some-college,40,Female,27,White,Private,Other
Some-college,70,Male,33,White,Private,Engineering
HS-grad,40,Female,24,White,Private,Other
Some-college,40,Female,47,White,Local-gov,Health
Less than HS,40,Male,48,White,Self-emp-inc,Other
HS-grad,50,Male,28,White,Private,Other
Bachelors,40,Male,33,White,Local-gov,Health
Bachelors,40,Male,44,White,Private,Other
Assoc-voc,56,Male,33,White,Local-gov,Industrial Arts & Consumer Services
Some-college,25,Female,26,White,Private,Business
